number,name,status
234,Iterators,Final
233,Python Online Help,Deferred
232,Function Attributes,Final
236,Back to the __future__,Final
1,PEP Purpose and Guidelines,Active
237,Unifying Long Integers and Integers,Final
235,Import on Case-Insensitive Platforms,Final
228,Reworking Python’s Numeric Model,Withdrawn
229,Using Distutils to Build Python,Final
231,__findattr__(),Rejected
230,Warning Framework,Final
238,Changing the Division Operator,Final
227,Statically Nested Scopes,Final
226,Python 2.1 Release Schedule,Final
224,Attribute Docstrings,Rejected
225,Elementwise/Objectwise Operators,Rejected
8101,2020 Term Steering Council election,Final
8104,2023 Term Steering Council election,Active
8103,2022 Term Steering Council election,Final
8015,Organization of the Python community,Rejected
8100,January 2019 Steering Council election,Final
8102,2021 Term Steering Council election,Final
8014,The Commons Governance Model,Rejected
8013,The External Council Governance Model,Rejected
8012,The Community Governance Model,Rejected
8016,The Steering Council Model,Accepted
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8010,The Technical Leader Governance Model,Rejected
8002,Open Source Governance Survey,Final
8001,Python Governance Voting Process,Final
8000,Python Language Governance Proposal Overview,Final
3333,Python Web Server Gateway Interface v1.0.1,Final
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
3153,Asynchronous IO support,Superseded
3155,Qualified name for classes and functions,Final
3150,Statement local namespaces (aka “given” clause),Deferred
3149,ABI version tagged .so files,Final
3152,Cofunctions,Rejected
3151,Reworking the OS and IO exception hierarchy,Final
3154,Pickle protocol version 4,Final
3148,futures - execute computations asynchronously,Final
3147,PYC Repository Directories,Final
3144,IP Address Manipulation Library for the Python Standard Library,Final
3146,Merging Unladen Swallow into CPython,Withdrawn
3143,Standard daemon process library,Deferred
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3142,Add a “while” clause to generator expressions,Rejected
3141,A Type Hierarchy for Numbers,Final
3140,"str(container) should call str(item), not repr(item)",Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3137,Immutable Bytes and Mutable Buffer,Final
3135,New Super,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3136,Labeled break and continue,Rejected
3133,Introducing Roles,Rejected
3138,String representation in Python 3000,Final
3129,Class Decorators,Final
3131,Supporting Non-ASCII Identifiers,Final
3128,BList: A Faster List-like Type,Rejected
3127,Integer Literal Support and Syntax,Final
3132,Extended Iterable Unpacking,Final
3125,Remove Backslash Continuation,Rejected
3126,Remove Implicit String Concatenation,Rejected
3122,Delineation of the main module,Rejected
3130,Access to Current Module/Class/Function,Rejected
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
3123,Making PyObject_HEAD conform to standard C,Final
3121,Extension Module Initialization and Finalization,Accepted
3119,Introducing Abstract Base Classes,Final
3120,Using UTF-8 as the default source encoding,Final
3118,Revising the buffer protocol,Final
3115,Metaclasses in Python 3000,Final
3116,New I/O,Final
3117,Postfix type declarations,Rejected
3114,Renaming iterator.next() to iterator.__next__(),Final
3113,Removal of Tuple Parameter Unpacking,Final
3111,Simple input built-in in Python 3000,Final
3110,Catching Exceptions in Python 3000,Final
3112,Bytes literals in Python 3000,Final
3109,Raising Exceptions in Python 3000,Final
3108,Standard Library Reorganization,Final
3107,Function Annotations,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3104,Access to Names in Outer Scopes,Final
3105,Make print a function,Final
3100,Miscellaneous Python 3.0 Plans,Final
3101,Advanced String Formatting,Final
3103,A Switch/Case Statement,Rejected
3099,Things that will Not Change in Python 3000,Final
3002,Procedure for Backwards-Incompatible Changes,Final
3102,Keyword-Only Arguments,Final
3003,Python Language Moratorium,Final
3001,Procedure for reviewing and improving standard library modules,Withdrawn
3000,Python 3000,Final
713,Callable Modules,Draft
801,Reserved,Active
754,IEEE 754 Floating Point Special Values,Rejected
709,Inlined comprehensions,Draft
710,Recording the provenance of installed packages,Draft
711,PyBI: a standard format for distributing Python Binaries,Draft
712,Adding a “converter” parameter to dataclasses.field,Draft
706,Filter for tarfile.extractall,Accepted
705,TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,Draft
707,A simplified signature for __exit__ and __aexit__,Rejected
704,Require virtual environments by default for package installers,Withdrawn
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,Draft
703,Making the Global Interpreter Lock Optional in CPython,Draft
702,Marking deprecations using the type system,Draft
701,Syntactic formalization of f-strings,Accepted
699,Remove private dict version field added in PEP 509,Accepted
698,Override Decorator for Static Typing,Accepted
700,Additional Fields for the Simple API for Package Indexes,Accepted
697,Limited C API for Extending Opaque Types,Accepted
696,Type defaults for TypeVarLikes,Draft
692,Using TypedDict for more precise **kwargs typing,Accepted
694,Upload 2.0 API for Python Package Repositories,Draft
695,Type Parameter Syntax,Accepted
693,Python 3.12 Release Schedule,Active
691,JSON-based Simple API for Python Package Indexes,Accepted
690,Lazy Imports,Rejected
689,Unstable C API tier,Accepted
687,Isolating modules in the standard library,Accepted
685,Comparison of extra names for optional distribution dependencies,Accepted
688,Making the buffer protocol accessible in Python,Accepted
686,Make UTF-8 mode default,Accepted
683,"Immortal Objects, Using a Fixed Refcount",Accepted
682,Format Specifier for Signed Zero,Final
680,tomllib: Support for Parsing TOML in the Standard Library,Accepted
684,A Per-Interpreter GIL,Accepted
678,Enriching Exceptions with Notes,Accepted
679,Allow parentheses in assert statements,Draft
676,PEP Infrastructure Process,Active
674,Disallow using macros as l-values,Deferred
675,Arbitrary Literal String Type,Accepted
681,Data Class Transforms,Accepted
677,Callable Type Syntax,Rejected
673,Self Type,Accepted
672,Unicode-related Security Considerations for Python,Active
671,Syntax for late-bound function argument defaults,Draft
670,Convert macros to functions in the Python C API,Final
669,Low Impact Monitoring for CPython,Accepted
664,Python 3.11 Release Schedule,Active
667,Consistent views of namespaces,Draft
666,Reject Foolish Indentation,Rejected
668,Marking Python base environments as “externally managed”,Accepted
665,A file format to list Python dependencies for reproducibility of an application,Rejected
663,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
662,Editable installs via virtual wheels,Rejected
659,Specializing Adaptive Interpreter,Draft
661,Sentinel Values,Draft
660,Editable installs for pyproject.toml based builds (wheel based),Final
658,Serve Distribution Metadata in the Simple Repository API,Accepted
657,Include Fine Grained Error Locations in Tracebacks,Final
656,Platform Tag for Linux Distributions Using Musl,Final
655,Marking individual TypedDict items as required or potentially-missing,Accepted
654,Exception Groups and except*,Accepted
653,Precise Semantics for Pattern Matching,Draft
651,Robust Stack Overflow Handling,Rejected
648,Extensible customizations of the interpreter at startup,Rejected
652,Maintaining the Stable ABI,Final
650,Specifying Installer Requirements for Python Projects,Withdrawn
649,Deferred Evaluation Of Annotations Using Descriptors,Draft
646,Variadic Generics,Accepted
647,User-Defined Type Guards,Accepted
